,id,precio,geom,numfotos,planta,precioinfo,tipo_propiedad,tamaño_m2,es_exterior,n_habitaciones,n_baños,direccion,provincia,municipio,distrito,pais,barrio,estado,tiene_ascensor,parking,precio_m2,tipo_detalle,texto_sugerido,codigo_distrito
1025,110331511,530000.0,0101000020E61000009C25B7DC4F5C0DC05DE223BD03334440,18,1.0,"{'price': {'amount': 530000.0, 'currencySuffix': '€'}}",flat,90.0,True,3,2,calle de Los Mesejo,Madrid,Madrid,Retiro,es,Adelfas,good,True,,5889.0,{'typology': 'flat'},,
1026,108975370,1295000.0,0101000020E61000007B6C263A26660DC0A6666A6D75354440,25,4.0,"{'price': {'amount': 1295000.0, 'currencySuffix': '€'}}",flat,119.0,True,3,2,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10882.0,{'typology': 'flat'},,
1027,109951155,740000.0,0101000020E6100000DC847B65DE6A0DC0698D412784354440,17,4.0,"{'price': {'amount': 740000.0, 'currencySuffix': '€'}}",flat,55.0,False,2,1,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,13455.0,{'typology': 'flat'},,
1028,109636056,732000.0,0101000020E610000074FA30314C5C0DC000C8091346344440,25,2.0,"{'price': {'amount': 732000.0, 'currencySuffix': '€'}}",flat,117.0,True,4,3,calle del Doctor Esquerdo,Madrid,Madrid,Retiro,es,Estrella,renew,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6256.0,{'typology': 'flat'},,
1029,108645048,1700000.0,0101000020E61000000EE48F5841620DC087911447D4354440,7,5.0,"{'price': {'amount': 1700000.0, 'currencySuffix': '€'}}",flat,180.0,True,3,3,calle del Doctor Castelo,Madrid,Madrid,Retiro,es,Ibiza,good,True,,9444.0,{'typology': 'flat'},,
1030,109304001,350000.0,0101000020E6100000A5C810B68E700DC09B8F6B43C5334440,25,4.0,"{'price': {'amount': 350000.0, 'currencySuffix': '€'}}",flat,42.0,False,2,1,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,True,,8333.0,{'typology': 'flat'},,
1031,110158832,899000.0,0101000020E610000065F61ED37F6B0DC0F3B4577AC8354440,27,4.0,"{'price': {'amount': 899000.0, 'currencySuffix': '€'}}",flat,103.0,True,3,1,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,8728.0,{'typology': 'flat'},,
1032,109123806,1690000.0,0101000020E6100000A2197A7A5B5F0DC0AC1DC539EA354440,7,3.0,"{'price': {'amount': 1690000.0, 'currencySuffix': '€'}}",flat,168.0,True,3,3,calle de Máiquez,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10060.0,{'typology': 'flat'},,
1033,109703741,1720000.0,0101000020E6100000EAEC6470946C0DC049D0042F9F354440,9,5.0,"{'price': {'amount': 1720000.0, 'currencySuffix': '€'}}",flat,200.0,True,3,3,calle de Menorca,Madrid,Madrid,Retiro,es,Ibiza,good,True,,8600.0,{'typology': 'flat'},,
1034,109871128,989000.0,0101000020E6100000DDDC4E1196670DC04779419F23354440,40,,"{'price': {'amount': 989000.0, 'currencySuffix': '€'}}",flat,94.0,True,2,2,calle del Alcalde Sainz de Baranda,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10521.0,{'typology': 'flat'},,
